Keywords,Utterance,Response
"hello, hi, greet","hello, hi, hey, greetings","Hello! Welcome to Zuri Crafters. How can I help you today?"
"products, what sell, items","what do you sell, show products","We sell handmade crafts like baskets, jewelry, leather goods, and home decor."
"price, cost, how much","how much is this, product price","Prices vary depending on the item. Check each product page for details."
"cart, add, basket","how do I add to cart, add item","Click the 'Add to Cart' button on any product to add it."
"checkout, pay, payment","how do I pay, checkout process","Go to your cart and click 'Proceed to Payment' to continue."
"delivery, shipping, arrive","how long does delivery take","Delivery usually takes 2–5 working days depending on your location."
"location, where, shop","where are you located","We are based in Kenya and deliver nationwide."
"contact, support, help","how do I contact support","You can contact our support team via email or phone listed on the site."
"refund, return, money back","can I return a product","Yes, returns are accepted within 7 days if the item is unused."
"discount, offer, sale","any discounts available","Yes! We often have seasonal discounts and promotions."
"basket, woven, storage","do you sell baskets","Yes, we have handmade woven baskets in different sizes."
"jewelry, necklace, beads","do you sell jewelry","Yes, we sell handmade Maasai-inspired bead jewelry."
"leather, wallet, belt","do you sell leather products","Yes, we offer handmade leather wallets, belts, and bags."
"home decor, decoration","do you sell home decor","Yes, we sell wall hangings, rugs, and decorative items."
"order, track, status","how do I track my order","You can track your order from your account dashboard."
"login, account, sign in","how do I login","Click the login button and enter your credentials."
"register, signup, create account","how do I create account","Click signup and fill in your details to register."
"payment failed, error, issue","payment is not working","Try again or contact support if the issue continues."
"mpesa, mobile money","do you accept mpesa","Yes, we accept M-Pesa payments."
"card, visa, mastercard","do you accept card payment","Yes, we accept Visa and Mastercard."
"stock, available, out of stock","is this product available","Availability is shown on each product page."
"popular, best seller","what are best sellers","Our best sellers include baskets, jewelry, and leather wallets."
"recommend, suggestion","what do you recommend","I recommend checking our handmade jewelry and baskets."
"new, latest, recently added","what is new","We regularly add new handcrafted items every week."
"gift, present","what can I gift someone","Jewelry and handmade baskets make great gifts."
"custom, order, personalize","can I customize products","Some products can be customized. Contact support for details."
"size, dimensions","what sizes are available","Sizes vary depending on the product. Check product details."
"material, made from","what are products made of","Our products are made from natural and locally sourced materials."
"eco, environment, sustainable","are products eco friendly","Yes, most products are eco-friendly and handmade."
"artisan, maker, who made","who makes your products","Our products are made by local Kenyan artisans."
"quality, durable","are products durable","Yes, they are handmade with high-quality materials."
"care, maintenance","how do I take care of items","Avoid water exposure and store in a dry place."
"delivery fee, shipping cost","how much is shipping","Shipping cost depends on your location."
"cancel order","can I cancel my order","Orders can be cancelled before shipping."
"wrong item, mistake","I received wrong item","Contact support immediately for assistance."
"late delivery","why is my order late","Delays may occur due to logistics. We are working on it."
"thank you, thanks","thanks, thank you","You're welcome! Happy shopping at Zuri Crafters."
"bye, goodbye","bye, see you","Goodbye! Come back soon "
"chatbot, ai, assistant","are you a bot","Yes, I am Zuri Chatbot, your shopping assistant."
"help me choose","I need help picking","Tell me your budget and I’ll suggest items."
"cheap, affordable","what is cheapest product","We have items starting from as low as KES 300."
"expensive, premium","what is most expensive","Our premium handcrafted items go up to KES 5000+."
"festival, holiday","do you have holiday offers","Yes, we have discounts during holidays and festivals."
"review, rating","can I review products","Yes, you can leave reviews on product pages."
"feedback, opinion","how can I give feedback","Use the feedback section or contact support."
"app, website","do you have app","Currently we are web-based only."
"safe, secure","is payment safe","Yes, all payments are securely processed."
"data, privacy","is my data safe","Yes, we protect user data and privacy."
